,State,PostalCode,Longitude,Latitude
19325,CA,93551,-118.15,34.61
19328,CA,90505,-118.35,33.81
19329,CA,90046,-118.34,34.09
19331,AL,35216,-86.81,33.4
19332,CA,93268,-119.47,35.15
19337,CA,91608,-118.35,34.14
19339,CO,80207,-104.9,39.79
19341,HI,96761,-156.68,20.89
19343,FL,33604,-82.45,28.0
19344,IL,60189,-88.1,41.84
19345,CA,90012,-118.24,34.05
19347,CA,93551,-118.2,34.61
19348,CA,92620,-117.74,33.7
19349,VA,22203,-77.1,38.88
19350,NV,89015,-114.98,36.04
19351,NJ,07073,-74.09,40.83
19352,AL,35404,-87.51,33.2
19353,CA,96007,-122.29,40.45
19356,IL,60602,-87.63,41.88
19359,UT,84084,-111.98,40.61
19360,PA,17325,-77.2,39.84
19364,VA,20194,-77.35,38.98
19365,WA,99205,-117.45,47.7
19369,CA,95758,-121.45,38.41
19370,CA,92801,-117.94,33.84
19371,FL,33990,-81.94,26.61
19377,IN,46953,-85.67,40.53
19378,PA,16057,-80.05,41.06
19379,OR,97520,-122.71,42.2
19381,NY,10028,-73.96,40.78
19382,IL,60487,-87.8,41.55
19383,MA,02780,-71.07,41.88
19384,CA,92843,-117.95,33.76
19386,MD,20832,-77.06,39.15
19387,CA,92545,-117.01,33.75
19388,FL,32819,-81.47,28.47
19390,OH,45431,-84.06,39.77
19397,WA,98168,-122.33,47.48
19398,AZ,85721,-110.95,32.23
19399,CA,90064,-118.45,34.03
19400,NE,68106,-95.99,41.25
19401,CA,95035,-121.9,37.42
19404,IL,60502,-88.28,41.81
19405,IL,60523,-87.95,41.85
19409,TX,75070,-96.68,33.17
19410,NY,10502,-73.85,41.01
19411,IN,46563,-86.3,41.35
19412,NE,68046,-96.03,41.14
19422,NY,14450,-77.44,43.13
19423,WA,98502,-122.94,47.05
19426,CA,92154,-117.09,32.58
19428,WV,25504,-82.29,38.42
19429,OR,97201,-122.68,45.51
19430,OH,44060,-81.36,41.66
19431,NV,89149,-115.27,36.27
19433,CA,94115,-122.43,37.78
19434,NY,10530,-73.8,41.02
19435,FL,33175,-80.43,25.73
19438,PA,15501,-79.12,40.03
19439,CA,91106,-118.12,34.15
19440,CA,92590,-117.13,33.51
19441,OR,97321,-123.09,44.63
19450,PA,15222,-80.0,40.44
19451,NC,27409,-79.93,36.12
19452,IL,60090,-87.94,42.15
19453,FL,33901,-81.87,26.6
19455,IN,46635,-86.22,41.7
19457,AZ,85748,-110.79,32.21
19460,CA,90631,-117.93,33.93
19462,CO,80309,-105.27,40.01
19464,TX,78705,-97.73,30.28
19465,TX,75098,-96.55,33.01
19466,SC,29609,-82.4,34.89
19467,SC,29403,-79.94,32.79
19469,WA,98072,-122.15,47.75
19470,CT,06510,-72.93,41.31
19474,CA,94577,-122.16,37.71
19476,HI,96789,-158.0,21.47
19479,TX,77057,-95.48,29.76
19485,WA,99037,-117.19,47.66
19486,MA,01752,-71.59,42.34
19487,PA,15219,-79.99,40.44
19490,MI,48104,-83.68,42.24
19494,CA,91731,-118.07,34.07
19503,WA,98402,-122.44,47.25
19506,IL,60018,-87.86,41.98
19510,CA,90262,-118.2,33.93
19511,NE,68137,-96.11,41.21
19513,OH,45243,-84.36,39.19
19517,AL,35223,-86.77,33.48
19518,AZ,85022,-112.07,33.61
19519,LA,70115,-90.08,29.93
19522,CA,91016,-118.0,34.15
19523,TX,77065,-95.63,29.93
19524,WY,83001,-110.79,43.47
19528,MD,20646,-76.98,38.53
19531,WI,53018,-88.38,43.05
19532,NC,27262,-80.02,35.98
19534,WI,53546,-88.98,42.72
19536,WA,98117,-122.36,47.69
19541,IL,60173,-88.04,42.05
19542,GA,30328,-84.38,33.92
19544,GA,30004,-84.27,34.09
19552,FL,34243,-82.46,27.39
19553,CA,92101,-117.16,32.72
19554,CA,92653,-117.7,33.59
19555,GA,30326,-84.36,33.85
19556,NV,89052,-115.1,36.0
19557,GA,30141,-84.79,33.9
19558,AZ,85367,-114.44,32.67
19559,TX,79109,-101.87,35.19
19560,OR,97702,-121.31,44.03
19563,AL,35401,-87.55,33.21
19565,TX,75235,-96.85,32.84
19566,VA,23606,-76.49,37.1
19567,OK,73034,-97.47,35.65
19568,UT,84101,-111.89,40.77
19571,CA,91020,-118.23,34.21
19572,WA,98155,-122.31,47.78
19574,TX,77339,-95.22,30.07
19575,CA,91711,-117.71,34.12
19578,CA,93711,-119.85,36.81
19579,MI,48439,-83.63,42.93
19583,NC,28310,-79.01,35.11
19584,PA,17603,-76.34,40.04
19585,CA,90250,-118.33,33.92
19586,MI,48038,-82.95,42.63
19587,GA,30022,-84.28,34.05
19589,AZ,85032,-111.98,33.61
19591,CA,90716,-118.07,33.83
19592,ID,83642,-116.37,43.62
19595,SC,29072,-81.15,34.01
19596,UT,84123,-111.94,40.65
19598,PA,18344,-75.33,41.1
19601,MO,63304,-90.63,38.74
19603,OR,97013,-122.68,45.27
19604,CA,95118,-121.89,37.27
19607,CO,81005,-104.66,38.23
19608,CA,93101,-119.71,34.42
19610,CA,93030,-119.18,34.2
19611,CA,95054,-121.98,37.39
19612,MD,20747,-76.89,38.85
19616,FL,33315,-80.14,26.07
19623,NV,89014,-115.04,36.07
19624,TX,77019,-95.41,29.75
19626,CA,92591,-117.16,33.52
19627,TX,75261,-97.04,32.9
19628,NY,11716,-73.1,40.78
19629,AZ,85745,-111.0,32.23
19630,NM,87507,-106.01,35.64
19631,CA,94534,-122.05,38.27
19632,CA,92630,-117.68,33.64
19639,KY,40324,-84.56,38.22
19641,AZ,86301,-112.46,34.6
19643,AK,99654,-149.41,61.58
19645,MD,20866,-76.93,39.11
19647,NY,10044,-73.95,40.76
19650,AK,99501,-149.89,61.22
19652,CA,92677,-117.69,33.56
19656,IL,60605,-87.63,41.87
19659,NY,14304,-78.98,43.1
19662,FL,32792,-81.29,28.6
19663,MO,63117,-90.35,38.63
