,PostalCode,Population,Median_Income,PerUnder60
14894,89510,3340,140947,0.81
14895,89511,34480,3309231,0.84
14896,89512,27200,418540,0.94
14897,89519,11080,1194197,0.81
14898,89521,44230,1907969,0.88
14899,89523,39990,1516241,0.88
14900,89701,29480,715464,0.88
14901,89703,11070,495241,0.8
14902,89704,4830,288315,0.8
14903,89705,6090,168447,0.85
14904,89706,22180,480206,0.88
14905,89801,30900,785106,0.94
14906,89815,19840,573416,0.93
14907,89820,6310,162789,0.93
14908,89821,530,13903,0.87
14909,89822,2480,65284,0.93
14910,89825,1010,15685,0.91
14911,89828,550,26033,0.84
14912,89835,2090,43611,0.89
14913,99999,92230,4728222,0.83
14914,0,1550180,57889208,0.87
14915,3031,15190,810014,0.88
14916,3032,7480,314826,0.9
14917,3033,7400,278332,0.93
14918,3034,4850,192785,0.87
14919,3036,6770,257100,0.9
14920,3037,5780,210619,0.89
14921,3038,40480,1266191,0.91
14922,3042,8390,269439,0.89
14923,3043,1860,66947,0.84
14924,3044,5480,183806,0.88
14925,3045,16360,543562,0.89
14926,3046,3800,148081,0.89
14927,3047,1870,57716,0.86
14928,3048,3790,109492,0.88
14929,3049,10910,713430,0.88
14930,3051,30430,1061296,0.89
14931,3052,10630,400542,0.89
14932,3053,32090,1179543,0.89
14933,3054,32770,1232773,0.89
14934,3055,18930,566338,0.89
14935,3057,3320,148738,0.89
14936,3060,33020,798716,0.91
14937,3062,34030,1451083,0.88
14938,3063,18590,707388,0.88
14939,3064,16950,579680,0.89
14940,3070,7880,294546,0.91
14941,3071,6480,180947,0.91
14942,3076,17610,688830,0.9
14943,3077,12380,367924,0.89
14944,3079,35220,1418127,0.87
14945,3082,1760,65036,0.87
14946,3084,1460,55052,0.86
14947,3086,4710,167436,0.88
14948,3087,20730,1337852,0.9
14949,3101,2990,145936,0.93
14950,3102,33300,868628,0.9
14951,3103,41710,898800,0.92
14952,3104,34830,1232676,0.89
14953,3106,17040,602388,0.88
14954,3109,12220,384694,0.89
14955,3110,30300,1746062,0.9
14956,3216,2530,74665,0.88
14957,3217,2330,67940,0.85
14958,3218,1350,37719,0.87
14959,3220,8300,212815,0.88
14960,3221,2540,74521,0.86
14961,3222,6100,178062,0.85
14962,3223,4690,145217,0.85
14963,3224,2820,114935,0.84
14964,3225,4400,116825,0.88
14965,3226,2080,157890,0.72
14966,3227,1100,54359,0.75
14967,3229,7500,340844,0.86
14968,3230,1420,34560,0.86
14969,3233,380,39169,0.74
14970,3234,5560,171773,0.87
14971,3235,9310,205222,0.88
14972,3237,3060,93346,0.88
14973,3240,1430,33405,0.87
14974,3241,890,37554,0.74
14975,3242,4770,160238,0.87
14976,3243,1100,27558,0.86
14977,3244,8840,232061,0.88
14978,3245,2070,95862,0.82
14979,3246,16860,553548,0.85
14980,3249,8370,359083,0.83
14981,3251,1710,74975,0.82
14982,3253,7350,320795,0.81
14983,3254,4550,300497,0.81
14984,3255,2350,138471,0.83
14985,3256,2730,82586,0.87
14986,3257,4870,328411,0.76
14987,3258,3100,105153,0.88
14988,3259,370,13733,0.76
14989,3261,5510,159693,0.88
14990,3262,1300,36658,0.84
14991,3263,4520,108234,0.9
14992,3264,5060,144041,0.86
14993,3266,2240,56222,0.83
14994,3268,1490,41533,0.85
14995,3269,3440,115276,0.85
14996,3275,13310,363984,0.89
14997,3276,9490,233461,0.89
14998,3278,3540,117857,0.86
14999,3279,810,14967,0.84
15000,3280,1260,39007,0.81
15001,3281,11230,327997,0.91
15002,3282,990,26036,0.85
15003,3284,990,29982,0.91
15004,3285,1930,52926,0.88
15005,3287,1500,59236,0.86
15006,3290,6230,259930,0.9
15007,3301,34250,1165757,0.86
15008,3303,17370,475789,0.89
15009,3304,10710,468145,0.89
15010,3307,6720,205088,0.86
15011,3431,23820,844621,0.86
15012,3440,3080,86792,0.87
15013,3441,450,8860,0.91
15014,3442,1570,38058,0.9
15015,3443,890,32695,0.83
15016,3444,1700,78306,0.82
15017,3445,790,24515,0.86
15018,3446,6880,185493,0.87
15019,3447,2700,78568,0.85
15020,3448,830,23485,0.88
15021,3449,2030,92441,0.78
15022,3450,1050,41006,0.78
15023,3451,4430,98684,0.88
15024,3452,6180,182915,0.87
15025,3455,2370,72048,0.85
15026,3456,890,21838,0.87
15027,3457,830,29697,0.82
15028,3458,7680,328887,0.81
15029,3461,6700,211791,0.89
15030,3462,1970,87036,0.84
15031,3464,1210,38544,0.85
15032,3465,2490,52149,0.9
15033,3466,1530,62086,0.86
15034,3467,1860,68940,0.83
15035,3470,5310,119937,0.87
15036,3561,6690,177878,0.86
15037,3570,8470,163975,0.87
15038,3574,2760,81203,0.84
15039,3576,2960,78478,0.83
15040,3579,330,10881,0.73
15041,3580,1580,86890,0.77
15042,3581,3370,93144,0.83
15043,3582,2520,47205,0.87
15044,3583,1170,33781,0.82
15045,3584,3850,109493,0.86
15046,3585,2920,73425,0.86
15047,3586,570,28013,0.79
15048,3588,1790,43747,0.85
15049,3590,860,15200,0.86
15050,3592,990,41752,0.76
15051,3593,320,14895,0.72
15052,3598,3680,80903,0.86
15053,3601,500,12163,0.88
15054,3602,2940,94944,0.85
15055,3603,5630,130222,0.87
15056,3605,1140,29486,0.86
15057,3607,280,7932,0.75
15058,3608,3100,133277,0.81
15059,3609,830,20832,0.89
15060,3740,1220,29557,0.84
15061,3741,4540,133299,0.87
15062,3743,14350,317179,0.88
15063,3745,1370,51732,0.82
15064,3748,4950,184091,0.84
15065,3750,1370,219730,0.85
15066,3752,880,19967,0.83
15067,3753,4380,209689,0.83
15068,3755,7950,937587,0.84
15069,3765,560,14655,0.84
15070,3766,10490,422842,0.87
15071,3768,2110,186518,0.85
15072,3770,890,48669,0.87
15073,3771,990,26579,0.85
15074,3773,8160,203774,0.87
15075,3774,1900,49548,0.84
15076,3777,1320,53224,0.83
15077,3779,820,22165,0.85
15078,3780,460,12148,0.87
15079,3781,1990,82390,0.84
15080,3782,3360,211716,0.83
15081,3784,4250,190954,0.84
15082,3785,2410,47915,0.87
15083,3801,24490,1717074,0.86
15084,3809,4530,148201,0.85
15085,3810,2050,89143,0.81
15086,3811,8650,400018,0.83
15087,3812,550,15327,0.76
15088,3813,3640,105040,0.83
15089,3814,2550,56321,0.86
15090,3816,1330,46090,0.83
15091,3817,640,21231,0.81
15092,3818,4350,114444,0.85
15093,3819,5210,175117,0.9
15094,3820,34720,1277708,0.89
15095,3823,2450,130541,0.9
15096,3824,7460,398049,0.86
15097,3825,11490,375787,0.9
15098,3826,3320,123822,0.84
15099,3827,4000,173008,0.86
15100,3830,1650,48865,0.82
15101,3833,26940,1219176,0.86
15102,3835,7430,178455,0.89
15103,3836,1530,56397,0.75
15104,3837,1560,47574,0.88
15105,3838,1380,60437,0.74
15106,3839,4730,118580,0.91
15107,3840,5290,284899,0.86
15108,3841,7950,327350,0.86
15109,3842,17580,880798,0.81
15110,3844,3070,181216,0.85
15111,3845,1410,53204,0.78
15112,3846,970,59209,0.74
15113,3848,7280,268077,0.86
15114,3849,1550,50105,0.85
15115,3851,4480,123163,0.88
15116,3852,730,16771,0.9
15117,3853,690,31113,0.72
15118,3855,3190,109574,0.86
15119,3856,2320,129065,0.9
15120,3857,10250,378652,0.88
15121,3858,5730,200233,0.89
15122,3860,4700,160128,0.83
15123,3861,5490,233726,0.9
15124,3862,5700,514347,0.83
15125,3864,1830,44818,0.85
15126,3865,9560,320531,0.88
15127,3867,23770,600192,0.88
15128,3868,6770,172253,0.86
15129,3869,3040,105348,0.88
15130,3870,6050,559230,0.8
15131,3872,4510,129036,0.84
15132,3873,8080,258966,0.91
15133,3874,9800,373147,0.83
15134,3875,950,33721,0.79
15135,3878,13430,347749,0.9
15136,3882,1540,35229,0.87
15137,3883,210,5369,0.81
15138,3884,5170,172131,0.88
15139,3885,10000,519616,0.87
15140,3886,1790,45081,0.83
15141,3887,2530,64057,0.88
15142,3890,980,23862,0.81
15143,3894,6570,321893,0.78
15144,99999,17930,974923,0.78
15145,0,10874680,412339176,0.9
15146,7001,18090,467287,0.92
15147,7002,80050,1922852,0.92
15148,7003,60700,1844090,0.91
15149,7004,10290,477542,0.88
15150,7005,19440,965192,0.89
15151,7006,32040,2008869,0.87
15152,7008,31020,620269,0.93
15153,7009,15440,771202,0.86
15154,7010,27060,963269,0.88
15155,7011,52280,921045,0.93
15156,7012,16430,558240,0.89
15157,7013,33950,1259781,0.87
15158,7014,7110,239721,0.91
15159,7016,30010,1479075,0.89
15160,7017,42360,694971,0.93
15161,7018,33430,515667,0.93
15162,7020,14920,985425,0.91
15163,7021,3040,419116,0.9
15164,7022,14980,272553,0.93
15165,7023,10390,472968,0.9
15166,7024,42650,2275598,0.85
15167,7026,38250,733081,0.92
15168,7027,5130,236170,0.88
15169,7028,11010,843293,0.93
15170,7029,21670,588353,0.93
15171,7030,53210,5224661,0.96
15172,7031,19300,588481,0.88
15173,7032,45650,1053535,0.91
15174,7033,10410,331447,0.9
15175,7034,11960,343671,0.9
15176,7035,12420,465621,0.87
15177,7036,53460,1237720,0.91
15178,7039,41540,3490963,0.89
15179,7040,33550,1844115,0.92
15180,7041,9870,596528,0.92
15181,7042,32040,2121296,0.9
15182,7043,16730,1508450,0.91
15183,7044,18020,1029898,0.88
15184,7045,13390,851029,0.87
15185,7046,6180,754422,0.92
15186,7047,67340,1534025,0.92
15187,7050,36420,556234,0.93
15188,7052,58320,2609964,0.89
15189,7054,36590,1476614,0.9
15190,7055,92640,1262494,0.96
15191,7057,13540,351927,0.9
15192,7058,7200,448256,0.91
15193,7059,21390,1860075,0.88
15194,7060,53250,1004001,0.93
15195,7062,16910,353159,0.92
15196,7063,17510,307156,0.94
15197,7064,4690,129651,0.88
15198,7065,34540,929451,0.91
15199,7066,19200,827266,0.86
15200,7067,23750,864261,0.89
15201,7068,7910,497255,0.84
15202,7069,7970,739641,0.87
15203,7070,22220,984947,0.89
15204,7071,25690,797706,0.89
