ZIPCODE,POPULATION,MEDIAN_INCOME,PER_UNDER_60
62082,2890,50265,0.885813149
62083,260,6290,0.884615385
62084,1780,32545,0.893258427
62086,1480,30757,0.885135135
62087,2000,29444,0.92
62088,7780,187069,0.872750643
62090,960,10237,0.90625
62091,440,9788,0.863636364
62092,2860,52637,0.888111888
62094,1170,22196,0.871794872
62095,11870,244573,0.888795282
62097,3510,101028,0.888888889
62201,6510,53146,0.956989247
62203,6730,79971,0.890044577
62204,5280,41977,0.931818182
62205,7350,80617,0.902040816
62206,15190,154563,0.944700461
62207,7630,67838,0.935779817
62208,19460,507489,0.877183967
62214,1330,38097,0.872180451
62215,2400,63018,0.9125
62216,3630,110903,0.914600551
62217,850,17715,0.858823529
62218,1990,60606,0.889447236
62220,21810,517993,0.900504356
62221,34110,879205,0.904133685
62223,19550,567503,0.859846547
62225,7290,108471,0.993141289
62226,33530,888865,0.880703847
62230,7900,230593,0.878481013
62231,8120,232768,0.862068966
62232,8640,230393,0.899305556
62233,6400,158714,0.8640625
62234,36770,926205,0.886864292
62236,17370,662586,0.881980426
62237,2740,58661,0.868613139
62238,630,9781,0.904761905
62239,5250,103726,0.893333333
62240,1650,37557,0.878787879
62241,1190,27506,0.857142857
62242,1480,33609,0.858108108
62243,6950,212353,0.864748201
62244,1190,36214,0.865546218
62245,2290,65747,0.890829694
62246,8980,213613,0.86636971
62249,19310,591850,0.877265665
62250,580,11420,0.879310345
62253,710,13352,0.85915493
62254,6200,183047,0.879032258
62255,1040,22652,0.875
62257,3110,70552,0.861736334
62258,12950,328649,0.913513514
62260,8850,296919,0.855367232
62262,1830,35676,0.879781421
62263,5960,174688,0.865771812
62264,3630,95902,0.867768595
62265,5160,132061,0.899224806
62268,880,23119,0.852272727
62269,44720,1434604,0.908542039
62271,2510,73705,0.868525896
62272,1700,29900,0.882352941
62274,6450,151361,0.860465116
62275,3930,99058,0.882951654
62277,1360,30207,0.867647059
62278,7930,212961,0.871374527
62280,470,11753,0.85106383
62281,3830,125745,0.91383812
62284,560,13413,0.857142857
62285,5960,218053,0.882550336
62286,6520,138968,0.866564417
62288,3250,79189,0.861538462
62293,5810,170607,0.877796902
62294,19350,581114,0.906459948
62295,1900,44990,0.910526316
62297,390,8948,0.871794872
62298,21660,689123,0.870729455
62301,33570,740532,0.886207924
62305,23310,787718,0.857571858
62311,840,19695,0.845238095
62312,2340,47221,0.88034188
62313,400,10467,0.85
62314,630,12440,0.888888889
62316,740,15253,0.905405405
62320,2630,57196,0.901140684
62321,4360,109597,0.848623853
62323,280,5319,0.857142857
62324,1430,27440,0.888111888
62325,560,9514,0.910714286
62326,2600,56877,0.857692308
62330,1710,38977,0.842105263
62338,1770,48889,0.875706215
62339,1110,23026,0.900900901
62340,1840,39805,0.875
62341,3810,90763,0.866141732
62343,730,14132,0.876712329
62345,360,6746,0.888888889
62346,250,5166,0.84
62347,2840,68038,0.89084507
62349,710,14893,0.873239437
62351,2210,50998,0.886877828
62353,4030,98289,0.8808933
62354,1660,39436,0.819277108
62355,780,13681,0.858974359
62356,580,12568,0.896551724
62358,810,17015,0.87654321
62360,2140,43026,0.901869159
62361,500,8379,0.88
62363,6410,145797,0.868954758
62365,690,13041,0.869565217
62366,1580,27377,0.892405063
62367,1430,22309,0.881118881
62370,460,9033,0.869565217
62373,340,9472,0.823529412
62374,330,7153,0.818181818
62375,370,9570,0.864864865
62376,1530,34819,0.895424837
62378,910,20153,0.857142857
62379,2160,47831,0.856481481
62380,380,6888,0.894736842
62401,23040,669735,0.880642361
62410,1190,23973,0.87394958
62411,5420,116119,0.887453875
62413,540,10417,0.87037037
62414,2110,41485,0.881516588
